Organisation name,Effective Date,Unique Property Reference Number,Unique Asset Identity,Name of the building/land or both,Street Name,Town,PostCode,X,Y,Tenure Type,Tenure Detail (see List),Holding Type
Rochdale Borough Council,2021-22,,2178,Devon Street Car Park Area 2,Devon Street,Pennine, OL11 1HN,389668.3,412664.58,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23104742,2180,Edmund Street Car Park,Edmund Street,Rochdale, OL16 4HR,392621.37,412699.88,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2182,Fenwick Street Car Park,Fenwick Street,Rochdale, OL12 6XE,389016.23,413098.33,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23102047,2184,Fir Street Car Park,Fir Street,Rochdale, OL10 1NW,386100.51,410380.87,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2233,Freehold Car Park,Freehold,Rochdale,,389403.32,412778.62,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2235,Freetrade Street Car park (1),Freetrade Street,Rochdale, OL11 3TT,389350.16,412469.27,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2237,Freetrade Street Car Park (2),Freetrade Street,Rochdale, OL11 3TT,389443.72,412497.28,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2246,Gowers Street Car Park,Gowers Street,Rochdale, OL16 2LN,390672.33,413859.23,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2248,Grandidge St Car Park,Grandidge Street,Rochdale, OL11 3SA,389353.5,412285.76,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2254,Hanover Street Car Park,Hanover Street,Pennine, OL11 3AT,388188.78,410538.08,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2256,Hartley Street Car Park,Hartley Street,Pennine, OL15 8JQ,393404.41,416194.02,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2258,Haugh Square Car Park,Haugh Square,Rochdale, OL16 3RG,394216.04,411632.99,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2260,Hector Avenue Car Park,Hector Avenue,Rochdale, OL16 2LE,390577.37,413948.28,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2262,Henry Street Car Park,Henry Street,Heywood, OL11 1EN,389680.77,412845.59,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2264,Hill Street Car Park,Hill Street,Rochdale, OL10 1HZ,385354.96,410768.15,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2266,James Street Car Park,James Street,Middleton, OL10 4HY,390278.8,413972.66,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2269,Kirkway Car Park,Kirkway,Heywood, M24 1PQ,387236.55,404429.05,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2271,Langton St Car Cark,Langton Street,Rochdale, OL10 5LH,385700.03,411047.23,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2273,Leonard Street Car Park,Leonard street,Heywood, OL11 2SX,388414.52,410437.52,Freehold,Local Authority Occupied,Land
